Title,Sub-Title,YouTube Link,What it Does,Built With,By,Location,Project Link
AI Arena,,https://www.youtube.com/watch?v=hA40gdc-VHY,"AI Arena is an innovative online game where players create unique characters and engage in tactical battles, all powered by AI-driven assistants. The application leverages the capabilities of the Google Gemini API to enhance every aspect of gameplay.

Players start by describing their characters in detail, including their appearance and abilities. Using the Gemini API, the application generates vivid, lifelike images of these characters, making each one unique. Next, the AI analyzes the characteristics of all characters involved and creates a detailed description of the battle arena. This description is then transformed into a visual representation of the arena, setting the stage for the combat.

During the battle, players receive support from two AI assistants: a tactician and a fighter. The tactician uses the Gemini API to analyze the battlefield and opponents, offering strategic advice for the next move. The fighter then uses this advice, along with the player’s input, to generate a move, which is executed in the game. After each round, the AI referee, also powered by Gemini, evaluates the combat actions and assigns scores based on performance.

Finally, a commentator assistant provides a detailed analysis and commentary on the battle in the game's chat, helping players and spectators understand the strategic choices made. Through the integration of the Gemini API, AI Arena delivers a dynamic and immersive experience, making each game session unique and engaging.",Web/Chrome,AI Arena,Armenia,https://ai.google.dev/competition/projects/ai-arena
Gemifood,Explore restaurants with AI,https://www.youtube.com/watch?v=l8a-Hgxu4rA,"Don't know where to eat? Gemifood recommends interesting restaurants nearby using the power of Google's Gemini AI. Want something specific? Select a type or cuisine, and Gemifood adapts its suggestions.

When signing up, users select restaurants they like. Then, the Gemini API is used to analyze the description and reviews of those restaurants and create a description of a user's taste. The Gemini API is also used to make a suggestion based on this description, along with information about nearby restaurants - all at the press of a button. This suggestion is then presented in a beautiful UI.","Android, Material 3, Google Maps API and Google Cloud",Narek,Armenia,https://ai.google.dev/competition/projects/gemifood
One minute changelog,,https://www.youtube.com/watch?v=MGm898B6264,"One Minute Changelog simplifies staying up-to-date with major Go and Kubernetes releases by providing AI-powered summaries and intelligent search extracts.

🪄 Key Features:
1. AI-Powered Summaries: Gemini creates concise summaries of official changelogs
2. Intelligent Search: Gemini generates context-aware summaries for relevant changelog sections
3. Quick Navigation: Summary points link to official documentation for detailed information

✏️ Benefits:
- Time-Saving: Quickly grasp major changes without reading entire changelogs
- Improved Comprehension: AI summaries provide context and highlight importance
- Efficient Information Retrieval: Easily find and understand specific updates across versions

🔮Future Plans:
Expand coverage to more programming languages and tools, becoming a comprehensive resource for developers across various technologies.",,one-minute-changelog.com,Armenia,https://ai.google.dev/competition/projects/one-minute-changelog
Backyard Safari,,https://www.youtube.com/watch?v=hZmg-i3SN0Y,"Backyard Safari is an Android app designed with Gemini AI to help users appreciate local wildlife, encouraging outdoor activity. The app uses scientific data to give users a list of common animals in their area, then uses Gemini to provide all the information they need to find and photograph their favorite.

The app works by first using the Global Biodiversity Information Facility and location services to provide a list of common local animals. Users select an animal and access:

General Info: Detailed descriptions and images from Wikipedia and the Global Biodiversity Information Facility.

Gemini AI Chatbot: A chatbot assists users in finding their chosen animal, providing habitat details and answering any other questions.

Local Sightings Heatmap: Powered by Google Maps, this feature shows hotspots based on animal sighting data, helping users pinpoint the best locations.

Camera with Image Recognition: Users can photograph animals, and Gemini AI verifies if the image matches the selected species.

Google Technologies:

Gemini AI, with Gemini 1.5 pro. This provides users with a personal guide to find their chosen animal, and to verify that images taken match their chosen species.

Firebase provides the serverless backend, including; Firebase Auth and OAuth, Firestore for user progress, Firebase Storage for image storage, Gemini AI via firebase for AI services.

The app was developed using Flutter and uses the Google Maps package and API.

Thank you, please enjoy!","Flutter, Android, Firebase, Google Maps",Simon Hanly-Jones,Australia,https://ai.google.dev/competition/projects/backyard-safari
Checkr Bot,,https://www.youtube.com/watch?v=EeGJMSniSRk,"If you have dietary requirements, you know how hard it can be to navigate the food aisles in supermarkets, not knowing whether the vege chips are hiding chicken flavour, or if there’s a sneaky animal derived emulsifier in that soy milk. That’s where Checkr Bot, the ingredient investigator, can help! It’s your essential companion for navigating extensive ingredient lists - whether you’re at your local supermarket, or in the ramen aise of a 7-11 in Tokyo. Our advanced AI tool meticulously analyzes food, cleaning and cosmetic ingredients lists, regardless of the language, and breaks it down to give you the information that is most relevant to you.

With Checkr Bot, you receive organized ingredient lists along with detailed descriptions, potential diet or allergen violations. Whether you're avoiding specific allergens or adhering to a particular diet, Checkr Bot ensures you make informed choices by decoding complex ingredient labels and highlighting any potential concerns. Live life with peace of mind, knowing that Checkr Bot helps you stay on top of your dietary needs and allergen sensitivities, no matter where your journey takes you.","Web/Chrome, Firebase, VertexAI - Gemini",Checkr Bot,Australia,https://ai.google.dev/competition/projects/checkr-bot
Clarify,Cut through the Clutter with Clarify!,https://www.youtube.com/watch?v=a3ByLusLXCk,"Clarify is an app designed to cut through the clutter of online content, helping users get straight to the information they need. Whether it's an article or a YouTube video, Clarify ensures that what you're about to explore lives up to its promise.

When a user shares an article link with Clarify, the app leverages the power of the Gemini API to perform a quick and comprehensive analysis. This includes a clarity score, which measures the accuracy and relevance of the headline, and a succinct summary that highlights the key points of the content. This way, users can immediately determine if the article is worth their time.

But Clarify doesn't stop at articles. It also takes advantage of Gemini's multi-modal input capabilities to analyze YouTube videos. By examining both the video thumbnail and the transcript, Clarify provides users with a clear understanding of what the video truly offers, cutting through clickbait thumbnails and misleading titles. Whether you're reading or watching, Clarify is your go-to tool for a distraction-free, informative online experience.","Flutter, Android, Firebase",Clarify,Australia,https://ai.google.dev/competition/projects/clarify
Class Planner,The AI Tool Built For Teachers.,https://www.youtube.com/watch?v=6XcO_uHEzN8,"Class Planner is an intuitive AI-powered tool designed to simplify teaching for educators of all tech levels. With a fully responsive interface, it’s accessible to everyone, including those with vision impairments, adapting seamlessly to browser zoom settings. Hosted on Siteground, a Google-powered platform committed to being Carbon Neutral, Class Planner also includes an option to incorporate sustainability aspects into the content, making it a tool that supports teachers and contributes to a better future. 🌱

Remarkably, Class Planner simplifies the complexities of Large Language Models (LLMs) by ensuring consistent, accurate outputs with minimal prompting. Teachers can effortlessly generate high-quality, curriculum-aligned content without needing advanced AI knowledge. Built-in prompt suggestions guide users towards creating even more effective materials, all within a user-friendly interface.

Unlike other tools, Class Planner combines AI customization with simplicity, offering a unique experience tailored to educators’ specific needs. It’s not just about saving time; it’s about empowering teachers to create impactful, personalized content for their students. With multi-language support and real-time content suggestions, Class Planner is designed to be a versatile, indispensable tool in the modern classroom. We believe the user feedback is crucial to making it even better, and we are committed to this.",Web/Chrome,Justin McArdle,Australia,https://ai.google.dev/competition/projects/class-planner
Clickolas Cage,Web Browsing Agent,https://www.youtube.com/watch?v=JKBv1uUnrSk,Given a natural text prompt goal. Clickolas will use the Gemini API to decide which actions to take on the web to achieve the text prompt goal.,Web/Chrome,techfren,Australia,https://ai.google.dev/competition/projects/clickolas-cage
Companion 1,"Transforming web content into accessible, digestible information.",https://www.youtube.com/watch?v=vpUEnNTpLts,"""Companion"" is a Chrome extension designed to make the web more accessible and user-friendly, particularly for individuals with visual impairments, cognitive disabilities, or language barriers. The app leverages the Gemini API to simplify complex web content, making it more digestible and easier to understand.

The core idea of Companion is to grant Gemini direct access to your current tab's web content, enabling it to provide relevant answers to the exact content you are currently viewing. Currently, the app supports a basic multi-modality with Gemini, allowing you to prompt Gemini with an image and text and receive a text-based response. Future plans include expanding this capability to process multiple images, videos, and audio, as well as generating images to help illustrate web content.

A feature that exemplifies the direction of the app is its ability to understand and respond to voice commands in hover mode. In this mode, Gemini interprets voice commands in relation to user-selected content, providing context-aware responses that align with the ongoing conversation.

Users can also adjust Gemini's responses according to their preferences. For example, you can ask Gemini to simplify information, offer follow-up questions to deepen understanding, or translate content into chosen languages. This extension aims not only to make the web more navigable but also to enhance daily experiences by removing barriers to digital content.",Web/Chrome,Kori Jacobsen,Australia,https://ai.google.dev/competition/projects/companion-1
Discipleship Journey,"Be like Him, to Be with Him",https://www.youtube.com/watch?v=CVSoSqyhEkA,"This console app prototype is specifically designed for believers of Jesus Christ to engage, plan and interact with the Bible. It offers 3 functions and what makes them distinct from popular apps are listed below:

1. Daily Word of the day – AI generates daily devotionals
Difference: Tailored to user's areas of growth and aspirations thus saving them time to search and find relevant devotionals themselves.
The response is fashioned to encourage, challenge and apply God’s Word with taking into account the user's specific goals and needs in their specific season or stage in life.

2. Bible reading planner – AI drafts a plan to complete reading Bible for a stipulated time duration
Difference: Plan fits with the user's schedule/calendar along with buffer time to catch up on missed readings.
The plan breakdown is to each day per week/month for ensuring the user to successfully accomplish their reading goal before dropping it altogether as an unattainable new year resolution plan.

3. Hear Jesus speak – AI acts as Jesus to answer questions
Difference: User’s question is answered by the expert of the scriptures.
The answer is ensured to quote the verse from Bible while providing its inference of its meaning. It greatly enables the user to view and think as Jesus does.

This app provides a fully functional kit for instilling Christian values daily. If each of us adds to their routine life, would not only break socioeconomic inequality barrier but would make this world a better place.",,Team Believers,Australia,https://ai.google.dev/competition/projects/discipleship-journey
doggle,Your Best AI Pesonal Finance helper🐶✨,https://www.youtube.com/watch?v=Fwdy6FSLmCA,"This project developed an AI-powered web app for managing personal finances, featuring intuitive visual displays and an AI chatbot designed as a playful bookkeeping puppy. The chatbot supports voice, text, image, and file inputs, using finetuned Gemini APIs for bill processing and personalized financial advice. This app enhances traditional budgeting tools, making them faster, smarter, and more personalized with advanced AI.","Firebase, google cloud SQL",CodeBlossoms,Australia,https://ai.google.dev/competition/projects/doggle
Easy Apply,,https://www.youtube.com/watch?v=p2F4V1-TUno,Our App allows job seekers to create beautifully designed resumes and cover letters and edit the content using gemini. Think of it as having gemini on the left and google docs on the right of the screen. You can ask Gemini to update the content of your resume without having to worry about layout and formatting,"Web/Chrome, Google Cloud",Easy Apply,Australia,https://ai.google.dev/competition/projects/easy-apply
EduQuiz,AI-powered multiplayer quiz app to play and learn,https://www.youtube.com/watch?v=F0CZS6sT080,"This app generate quiz and correct and incorrect answers use Gemini API, the Gemini tailor the response are based on the user input parameters","Web/Chrome, Firebase, Angular, TypeScript",Booolean,Australia,https://ai.google.dev/competition/projects/eduquiz
